start,end,percent_change
1.846949,2.567846,0.390318
3.198741,3.955219,0.236492
3.370783,3.908919,0.159647
4.208491,4.670324,0.109739
4.556795,4.463863,-0.020394
1.848829,0.591590,-0.680019
3.202656,0.417340,-0.869689
3.370906,0.796413,-0.763739
4.210559,0.578519,-0.862603
4.552097,0.518518,-0.886092
1.848849,2.733403,0.478435
3.203042,3.379005,0.054936
3.370304,1.928921,-0.427672
4.208559,2.630925,-0.374863
4.551620,3.226513,-0.291129
1.847948,1.041264,-0.436530
3.198790,0.471332,-0.852653
3.370331,1.400022,-0.584604
4.210505,2.833825,-0.326963
4.557363,3.919828,-0.139891
